locality,lat,lon,source_note
LB Nagar,17.3501617,78.5510938,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Uppal,17.4025091,78.5612562,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Malkajgiri,17.4511764,78.5368997,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Mahankali Hyderabad,17.437594,78.4913299,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Marredpally,17.4507936,78.5048972,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Trimulgherry,17.4639543,78.4837317,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Panjagutta,17.4254245,78.4517519,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
SR Nagar Hyderabad,17.4392027,78.4579574,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Banjara Hills,17.4177464,78.4399014,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Jubilee Hills,17.4308362,78.4102882,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Begumpet,17.446195,78.463016,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Chikkadpally,17.400939,78.4976319,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Abids Hyderabad,17.3889925,78.4715569,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Narayanguda,17.3981159,78.4885006,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Saifabad,17.4047878,78.4658367,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Mir Chowk Hyderabad,17.3636186,78.480489,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Falaknuma,17.3326604,78.4751984,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Kacheguda,17.389311,78.4992403,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Sultan Bazar Hyderabad,17.3870437,78.4869648,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Malakpet,17.3736706,78.4996484,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Goshamahal,17.3805762,78.468846,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Madhapur,17.4408924,78.3916304,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Gachibowli,17.4436222,78.3519638,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Miyapur,17.4981608,78.3567628,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
