locality,source_note
LB Nagar,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Uppal,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Malkajgiri,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Gopalpuram,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Mahankali Hyderabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Marredpally,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Trimulgherry,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Panjagutta,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
SR Nagar Hyderabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Banjara Hills,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Jubilee Hills,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Begumpet,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Chikkadpally,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Abids Hyderabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Narayanguda,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Saifabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Mir Chowk Hyderabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Falaknuma,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Kacheguda,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Sultan Bazar Hyderabad,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Malakpet,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Toli Chowki,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Goshamahal,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Madhapur,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Gachibowli,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
Miyapur,GHMC 2019 list of 123 waterlogging-prone points (A/B/C severity grading)
